Lj	Data	Item	Quantidade	Estoque	Fator	Peso	Estoque Loja	MDV	Norma	Lastro
1	06/04/2026	12927	1	36	6	0	16	0,629	400	20
1	06/04/2026	13194	2	120	12	0	14	0,771	60	15
1	06/04/2026	13470	1	4	2	3	0	0,171	35	7
1	06/04/2026	13755	1	60	12	2	-2	0,343	100	10
1	06/04/2026	13956	1	106	12	12	21	0,8	44	11
1	06/04/2026	13982	1	30	6	2	5	0,257	125	25
1	06/04/2026	13983	1	12	6	5	9	0,314	125	25
1	06/04/2026	13986	2	12	6	8	6	0,4	125	24
1	06/04/2026	14019	2	780	24	10	25	2,029	189	21
1	06/04/2026	14088	1	119	12	3	22	1	260	26
1	06/04/2026	14089	1	168	12	3	21	1,257	90	15
1	06/04/2026	14648	1	288	72	0	56	18,114	90	15
1	06/04/2026	14661	1	64	4	0	15	0,543	40	10
1	06/04/2026	14726	3	42	6	26	8	0,629	65	13
1	06/04/2026	15061	1	56	56	5	24	1,086	135	15
1	06/04/2026	15309	2	420	12	4	16	0,971	400	40
1	06/04/2026	15446	2	30	10	0	0	0,571	100	10
1	06/04/2026	15447	2	240	12	0	2	1	100	10
1	06/04/2026	15480	2	720	24	15	5	0,971	56	7
1	06/04/2026	15620	2	60	20	0	14	1,371	0	7
1	06/04/2026	16813	1	24	24	13	1	0,657	91	13
1	06/04/2026	16892	1	6	6	1	0	0,171	360	36
1	06/04/2026	16895	2	30	6	7	0	0,343	90	15
1	06/04/2026	16897	2	288	12	26	1	0,657	85	17
1	06/04/2026	16901	1	2400	24	6	33	1,771	144	16
1	06/04/2026	16903	1	2400	24	6	32	1,829	144	16
1	06/04/2026	16969	2	1465	12	12	22	1,086	144	16
1	06/04/2026	17061	4	38	6	7	-1	2,371		
1	06/04/2026	17123	3	420	12	4	6	1,171		
1	06/04/2026	19088	1	1081	12	4	6	0,343	35	5
1	06/04/2026	20114	2	191	48	42	51	5	45	9
1	06/04/2026	22910	1	123	20	10	33	2,629	40	10
1	06/04/2026	25096	2	174	20	10	65	3,171	96	16
1	06/04/2026	26987	2	1944	24	27	103	4,829	54	9
1	06/04/2026	28639	1	576	24	13	33	1,286	70	14
1	06/04/2026	29131	1	12	12	10	17	0,571	85	17
1	06/04/2026	30403	2	36	12	12	2	0,543	80	8
1	06/04/2026	30595	2	374,36	24	16	92	5	102	17
1	06/04/2026	31066	2	1225	24	13	86	12,629	140	10
1	06/04/2026	31189	3	1377	12	19	32	3,429	165	15
1	06/04/2026	33008	2	84	12	26	14	0,943	40	10
1	06/04/2026	33633	1	216	12	12	13	0,486	40	10
1	06/04/2026	33671	1	300	60	4	24	0,914	30	6
1	06/04/2026	33947	1	72	24	8	17	1,029	90	9
1	06/04/2026	34012	1	84	12	13	12	0,6	40	10
1	06/04/2026	34043	3	1056	24	15	81	5,086	207	23
1	06/04/2026	34180	2	240	48	6	62	4,2	100	20
1	06/04/2026	34210	1	672	48	3	34	3,571	80	10
1	06/04/2026	34241	1	216	36	5	21	0,771	64	8
1	06/04/2026	34302	1	48	24	8	16	0,857	90	9
1	06/04/2026	39246	1	311	24	2	27	1,914	130	10
1	06/04/2026	45001	1	60	20	10	29	1,514	42	6
1	06/04/2026	45025	1	219	20	10	53	2,743	54	6
1	06/04/2026	45100	4	943	20	40	78	5,257	72	8
1	06/04/2026	45186	2	119	20	21	25	1,371	28	7
1	06/04/2026	45292	1	37	20	10	24	1,543	54	6
1	06/04/2026	45315	2	174	20	20	20	1,371	42	7
1	06/04/2026	45346	5	75	10	50	17	2,314	54	9
1	06/04/2026	46190	2	360	30	20	7	1,314	72	9
1	06/04/2026	50067	1	39	10	5	13	0,486	21	3
1	06/04/2026	50081	2	447	10	10	17	1,714	72	9
1	06/04/2026	50098	1	141	10	5	22	0,743	200	20
1	06/04/2026	50579	1	1188	36	4	71	3,429	100	10
1	06/04/2026	55840	1	3650	48	2	66	3,457	66	11
1	06/04/2026	57158	2	2268	36	8	122	5,8	100	10
1	06/04/2026	58964	3	69	12	31	56	4,514	90	18
1	06/04/2026	62688	4	84	12	19	40	3,457	144	24
1	06/04/2026	66082	7	7033	24	27	219	24,429	144	12
1	06/04/2026	66181	2	61	12	13	0	0,514	120	24
1	06/04/2026	67317	2	288	12	13	27	1,171	108	18
1	06/04/2026	77620	1	135	24	12	26	1,171	32	8
1	06/04/2026	80651	1	112	24	0	17	0,971	222	37
1	06/04/2026	96454	1	51	10	5	3	0,171	100	10
1	06/04/2026	100410	2	65	16	6	14	1,029	50	10
1	06/04/2026	100526	1	18	9	4	0	0,4	50	5
1	06/04/2026	101271	1	731	12	11	36	1,343	56	14
1	06/04/2026	101530	1	1296	36	4	42	2,171	100	10
1	06/04/2026	102469	3	44	12	5	22	2	430	43
1	06/04/2026	103121	2	80	24	4	51	3,371	144	6
1	06/04/2026	104470	1	465	15	6	7	0,343	289	17
1	06/04/2026	104487	1	210	15	6	8	0,314	289	17
1	06/04/2026	105743	1	531	48	4	28	1,514	210	14
1	06/04/2026	106191	4	366	6	45	21	1,571	45	15
1	06/04/2026	110303	1	160	20	0	13	0,771	48	12
1	06/04/2026	110501	1	221	68	6	13	1,571	135	15
1	06/04/2026	110884	3	853	12	17	18	1,143	220	22
1	06/04/2026	112222	2	102	6	40	27	0,943	42	7
1	06/04/2026	112239	2	36	6	40	30	1,086	40	8
1	06/04/2026	112581	1	108	36	9	23	0,829	80	10
1	06/04/2026	117715	3	68	17	5	6	1,914	135	15
1	06/04/2026	118149	2	3295	27	12	26	2,8	165	15
1	06/04/2026	121040	1	699	50	5	93	4,971	56	8
1	06/04/2026	121668	1	265	12	12	8	0,343	406	14
1	06/04/2026	124270	2	192	12	15	37	1,514	128	16
1	06/04/2026	125420	5	3356	6	30	69	3,171	180	30
1	06/04/2026	127264	1	72	12	11	2	0,4	90	15
1	06/04/2026	130622	3	396	12	36	19	3,543	100	10
1	06/04/2026	131377	2	863	48	6	55	6,057	100	20
1	06/04/2026	131421	2	48	16	7	26	1,914	270	18
1	06/04/2026	132879	1	900	180	3	69	6,543	88	8
1	06/04/2026	137744	7	12569	32	28	128	22,743	114	19
1	06/04/2026	141246	4	1302	6	51	60	2,829	80	20
1	06/04/2026	142977	1	60	20	10	2	0,086	18	6
1	06/04/2026	143257	3	646	6	38	36	1,771	100	5
1	06/04/2026	153218	1	412	20	20	36	1,686	126	7
1	06/04/2026	154116	3	7632	48	26	-14	26,971	56	14
1	06/04/2026	155144	2	792	12	23	8	1,486	275	11
1	06/04/2026	155496	1	180	30	3	21	1,314	315	15
1	06/04/2026	158077	2	847	12	31	59	2,857	60	15
1	06/04/2026	159838	1	300	12	3	24	0,886	120	5
1	06/04/2026	160209	2	2224	30	30	85	5,057	72	8
1	06/04/2026	160988	1	12	12	3	-1	0,029	60	10
1	06/04/2026	161527	2	1480	20	19	52	5,457	119	17
1	06/04/2026	162371	3	30	10	0	66	3,257	120	12
1	06/04/2026	163859	1	193	20	5	37	2,257	100	10
1	06/04/2026	165105	1	95	24	9	9	0,886	60	10
1	06/04/2026	165310	1	371	12	7	9	0,743	72	12
1	06/04/2026	165396	1	12	12	0	32	1,771	360	20
1	06/04/2026	165990	2	421	30	20	49	6,657	72	9
1	06/04/2026	167154	1	30	6	1	6	0,343	672	56
1	06/04/2026	167215	2	81	12	13	30	1,314	352	22
1	06/04/2026	167376	1	30	30	15	35	1,343	72	9
1	06/04/2026	169745	1	200	20	10	19	2,229	60	6
1	06/04/2026	171120	2	1219	20	20	8	5,343	77	7
1	06/04/2026	171922	1	119	12	4	5	0,343	286	22
1	06/04/2026	172707	2	5250	25	20	52	5,286	70	7
1	06/04/2026	175708	1	1434	56	2	111	9,6	28	7
1	06/04/2026	175722	1	612	56	2	140	13,971	28	7
1	06/04/2026	177467	4	2181	9	8	59	3,429	40	8
1	06/04/2026	177924	1	96	12	22	9	0,486	60	15
1	06/04/2026	178006	1	720	12	14	3	0,6	60	14
1	06/04/2026	178921	1	72	24	5	-2	0,971	126	14
1	06/04/2026	179836	1	89	24	2	56	2,714	117	13
1	06/04/2026	180078	1	160	80	10	43	7,286	100	25
1	06/04/2026	180870	1	72	12	13	45	2,057	77	11
1	06/04/2026	188340	1	24	24	0	10	0,4	315	105
1	06/04/2026	189569	1	229	22	3	37	1,486	198	11
1	06/04/2026	190923	2	108	12	9	38	2,543	48	6
1	06/04/2026	193146	1	83	12	12	9	0,343	55	11
1	06/04/2026	194242	3	11540	32	32	8	19,8	90	6
1	06/04/2026	194570	1	96	24	0	0	1,657	100	10
1	06/04/2026	196246	2	68	10	20	31	1,743	98	14
1	06/04/2026	197052	1	193	24	13	35	1,686	54	9
1	06/04/2026	197809	1	213	24	1	25	1,171	168	24
1	06/04/2026	197854	3	1008	48	9	69	5,771	100	10
1	06/04/2026	197861	1	96	24	12	18	0,971	50	10
1	06/04/2026	197892	1	96	24	1	21	0,714	222	37
1	06/04/2026	200691	1	432	24	4	27	0,943	220	22
1	06/04/2026	200776	1	2304	48	1	60	6,857	288	18
1	06/04/2026	207911	1	200	20	10	38	1,886	55	11
1	06/04/2026	208505	1	252	12	6	12	0,6	100	10
1	06/04/2026	215671	3	839	48	23	9	5,4	117	13
1	06/04/2026	215688	1	240	48	7	62	3	117	13
1	06/04/2026	215695	1	328	48	7	32	3,771	117	13
1	06/04/2026	217149	1	96	24	3	16	1,314	256	32
1	06/04/2026	217774	3	63	16	31	-6	3,029	28	7
1	06/04/2026	219020	1	116	20	10	12	2	48	6
1	06/04/2026	220194	10	4345	27	59	101	48,971	165	15
1	06/04/2026	221337	1	121	24	13	59	3,229	54	9
1	06/04/2026	221719	2	480	12	11	11	0,886	220	22
1	06/04/2026	224581	2	120	12	13	6	0,543	90	15
1	06/04/2026	226745	1	12	12	12	7	0,286	85	17
1	06/04/2026	227872	1	413	18	9	30	1,286	60	10
1	06/04/2026	229470	1	283	6	2	1	0,143	450	45
1	06/04/2026	229968	1	214	24	6	12	0,486	140	20
1	06/04/2026	232463	2	614	12	30	36	1,486	60	15
1	06/04/2026	233101	4	888	12	60	86	4,371	60	15
1	06/04/2026	235334	3	2734	48	22	57	19,714	110	10
1	06/04/2026	235792	2	850	25	20	0	1,8	40	5
1	06/04/2026	237116	2	825	25	20	0	1,486	50	5
1	06/04/2026	237581	2	1491	24	10	27	1,629	189	21
1	06/04/2026	240123	1	94	24	12	31	1,086	55	11
1	06/04/2026	241571	1	12	12	4	3	0,257	60	15
1	06/04/2026	242561	1	207	9	15	9	0,514	48	8
1	06/04/2026	244428	6	812	12	64	56	6,029	55	11
1	06/04/2026	247603	2	192	12	13	25	1,114	100	10
1	06/04/2026	248761	2	2748	50	10	69	5,857	48	8
1	06/04/2026	251174	1	12	12	25	13	0,514	75	15
1	06/04/2026	252775	1	424	16	4	6	0,571	300	20
1	06/04/2026	253444	1	120	6	12	6	0,257	60	15
1	06/04/2026	258173	2	82	12	19	6	0,543	90	15
1	06/04/2026	260480	2	838	24	4	34	5,486	130	13
1	06/04/2026	272254	7	1427	10	38	110	5,886	96	12
1	06/04/2026	272346	1	336	24	0	4	2,743	140	28
1	06/04/2026	273664	2	275	24	48	0	1,057	96	16
1	06/04/2026	285032	7	681	12	47	97	6,057	50	10
1	06/04/2026	289030	1	318	6	12	11	0,571	100	20
1	06/04/2026	289245	1	198	50	6	50	3,714	112	14
1	06/04/2026	298230	7	3873	12	70	81	16,629	90	15
1	06/04/2026	303323	1	300	12	6	2	1,029	63	7
1	06/04/2026	304030	2	2184	24	18	12	2,4	144	16
1	06/04/2026	307451	1	628	30	10	36	1,314	30	5
1	06/04/2026	307796	1	494	48	1	22	0,743	50	10
1	06/04/2026	311014	1	10505	32	10	81	5,343	90	15
1	06/04/2026	322980	1	60	15	1	16	0,6	416	52
1	06/04/2026	325714	1	192	24	5	21	1,371	140	20
1	06/04/2026	325981	1	119	20	10	35	1,343	18	6
1	06/04/2026	326742	4	1409	8	16	66	3,229	40	4
1	06/04/2026	328333	2	99	20	20	19	1,857	36	6
1	06/04/2026	331012	2	204	6	18	19	0,886	110	22
1	06/04/2026	337229	3	399	20	30	28	2,343	36	6
1	06/04/2026	337236	1	352	20	10	30	1,943	36	6
1	06/04/2026	339964	2	72	12	13	13	0,914	120	24
1	06/04/2026	344289	1	624	48	8	108	5,286	104	13
1	06/04/2026	347730	1	120	24	5	23	0,971	207	23
1	06/04/2026	349062	2	118	24	26	19	1,629	72	12
1	06/04/2026	349123	2	381	24	14	51	3,314	108	18
1	06/04/2026	353458	1	95	24	0	17	1,486	864	108
1	06/04/2026	353724	1	72	36	8	25	1,114	96	16
1	06/04/2026	355902	3	548	10	30	21	3,429	70	10
1	06/04/2026	360227	1	726	20	10	22	1,771	18	6
1	06/04/2026	360388	2	492	12	9	42	1,457	20	4
1	06/04/2026	363631	3	726	6	19	45	1,571	105	15
1	06/04/2026	363778	1	1632	96	3	77	4,943	65	13
1	06/04/2026	385800	2	40	6	25	41	1,371	65	13
1	06/04/2026	391412	2	24	12	26	0	0,714	72	8
1	06/04/2026	395816	2	1056	24	25	66	3,8	84	14
1	06/04/2026	396356	1	1464	24	10	29	1,371	48	8
1	06/04/2026	404280	3	282	24	33	29	3,2	78	13
1	06/04/2026	406390	2	1898	20	19	-1	3	119	17
1	06/04/2026	418706	2	930	120	0	44	13,543	50	10
1	06/04/2026	440493	4	1092	12	6	92	4,771	297	33
1	06/04/2026	440523	2	324	12	3	6	1,457	297	33
1	06/04/2026	440981	1	2250	150	2	49	7,886	182	13
1	06/04/2026	441063	1	1650	150	2	24	8,086	182	13
1	06/04/2026	441698	2	24	12	14	23	1,771	90	18
1	06/04/2026	447096	1	84	12	15	0	0,029	70	14
1	06/04/2026	452199	1	155	6	6	11	0,6	170	34
1	06/04/2026	456173	33	99	1	346	90	4,114	90	30
1	06/04/2026	465328	1	30	30	15	18	0,714	60	6
1	06/04/2026	467018	1	47	24	4	3	1,943	80	8
1	06/04/2026	467032	2	96	24	9	33	1,6	80	8
1	06/04/2026	474801	7	605	6	126	45	2,914	60	15
1	06/04/2026	476607	5	292	1	7	1	0,343	100	20
1	06/04/2026	479660	4	1572	12	25	9	1,8	110	22
1	06/04/2026	487665	1	114	20	10	7	0,286	60	6
1	06/04/2026	487689	1	30	30	10	19	1,114	72	8
1	06/04/2026	487733	2	128	20	20	15	1,457	28	7
1	06/04/2026	489515	1	96	12	12	21	0,914	50	10
1	06/04/2026	490108	3	864	24	27	78	5,086	80	10
1	06/04/2026	491082	2	291	48	6	64	5,057	80	10
1	06/04/2026	491402	2	4248	72	22	0	6,886	52	13
1	06/04/2026	507318	2	3600	72	22	1	8,714	52	13
1	06/04/2026	508070	1	1280	80	4	14	1,943	20	4
1	06/04/2026	508919	1	3540	60	6	82	4,743	40	5
1	06/04/2026	525411	1	144	48	3	22	2,029	80	10
1	06/04/2026	531450	2	6480	72	28	22	19,171	40	8
1	06/04/2026	554411	1	625	25	9	30	1,314	63	9
1	06/04/2026	557917	2	241	24	0	7	1,714	136	17
1	06/04/2026	570596	1	575	25	8	35	1,286	63	9
1	06/04/2026	582964	6	553	6	12	55	3,229	572	44
1	06/04/2026	584531	1	1139	60	19	81	4,086	24	4
1	06/04/2026	592130	12	139	6	180	75	5,829	25	5
1	06/04/2026	592956	1	30	6	6	1	0,143	75	15
1	06/04/2026	593465	1	3456	72	11	0	4,914	75	15
1	06/04/2026	596862	2	550	24	9	37	2,886	75	15
1	06/04/2026	600330	1	10	10	3	0	0,086	175	25
1	06/04/2026	602075	9	1943	6	54	99	10	150	30
1	06/04/2026	614429	1	1540	70	9	71	5,514	90	15
1	06/04/2026	615259	1	144	12	4	12	0,714	85	17
1	06/04/2026	615280	2	828	12	13	37	2,029	85	17
1	06/04/2026	615310	1	371	12	6	28	0,971	85	17
1	06/04/2026	621649	2	4739	42	6	19	5,857	135	15
1	06/04/2026	622349	13	3024	6	17	72	14,057	826	59
1	06/04/2026	622929	5	60	12	45	53	7	56	7
1	06/04/2026	622950	5	2469	12	63	33	9,829	66	11
1	06/04/2026	625517	1	192	32	13	27	1	104	13
1	06/04/2026	625524	1	1286	32	10	37	2,086	104	13
1	06/04/2026	627566	2	360	12	19	28	1,057	96	16
1	06/04/2026	629256	2	738	12	11	34	1,971	430	43
1	06/04/2026	629294	2	59	12	11	36	2,143	430	43
1	06/04/2026	635103	2	2280	60	16	100	32	56	14
1	06/04/2026	635523	3	709	12	18	23	3,486	120	20
1	06/04/2026	641418	1	2250	150	1	37	8,286	150	15
1	06/04/2026	641425	1	1050	150	3	75	8,771	150	15
1	06/04/2026	641432	1	1350	150	0	25	4,514	150	15
1	06/04/2026	641449	1	1950	150	0	37	4,343	150	15
1	06/04/2026	641456	1	1650	150	1	103	9,4	100	10
1	06/04/2026	641463	1	2100	150	0	62	11,2	150	15
1	06/04/2026	641548	3	126	6	5	48	2,2	472	59
1	06/04/2026	641593	73	2249	2	620	46	19,514	120	30
1	06/04/2026	644105	2	2246	65	9	215	21,514	52	13
1	06/04/2026	651066	1	6	6	0	0	0,057	88	22
1	06/04/2026	651295	3	228	12	16	13	2,086	430	43
1	06/04/2026	653732	7	600	6	27	95	4,543	220	20
1	06/04/2026	655026	1	59	12	19	12	0,657	55	11
1	06/04/2026	657778	21	793	8	336	25	17,857	75	15
1	06/04/2026	662420	1	69	24	8	32	1,457	112	14
1	06/04/2026	667814	1	145	27	11	2	1,343	90	15
1	06/04/2026	669221	1	24	12	4	28	1	174	29
1	06/04/2026	674638	1	3348	108	9	54	13,229	90	15
1	06/04/2026	687867	2	1367	12	26	31	2,4	85	17
1	06/04/2026	689304	1	408	24	4	27	1,2	360	20
1	06/04/2026	691468	1	768	48	3	26	1,114	50	10
1	06/04/2026	703178	1	340	20	10	54	2,486	48	12
1	06/04/2026	704403	9	1039	6	25	88	5,714	360	45
1	06/04/2026	706155	8	1942	6	77	7	9,743	112	28
1	06/04/2026	708135	4	764	6	18	34	1,543	80	16
1	06/04/2026	716406	1	63,32	10	8	46,02	1,606	40	10
1	06/04/2026	734493	1	444	12	18	11	1,029	56	14
1	06/04/2026	736169	1	12	6	14	5	0,343	90	30
1	06/04/2026	738408	1	1008	24	10	46	2,4	64	8
1	06/04/2026	741224	1	182	20	10	17	0,657	88	11
1	06/04/2026	741231	1	820	20	10	25	1,171	100	10
1	06/04/2026	741293	1	432	24	1	28	1,486	143	11
1	06/04/2026	741347	1	216	24	1	9	0,743	143	11
1	06/04/2026	742658	1	276	12	15	23	0,8	396	12
1	06/04/2026	750912	2	509	20	20	81	3,886	96	16
1	06/04/2026	755498	5	1551	6	70	83	7	80	16
1	06/04/2026	755795	1	107	12	14	8	0,457	48	12
1	06/04/2026	764452	1	122	6	8	12	0,457	110	22
1	06/04/2026	767675	4	96	24	54	3	3	36	9
1	06/04/2026	768467	2	408	12	27	18	1,343	60	12
1	06/04/2026	768504	1	1583	24	0	61	2,943	78	13
1	06/04/2026	770248	4	380	20	4	25	5,714	50	10
1	06/04/2026	771085	1	138	6	8	12	0,514	140	28
1	06/04/2026	771917	1	36	12	4	12	0,657	280	28
1	06/04/2026	774130	2	940	20	21	16	2,371	100	10
1	06/04/2026	776653	1	84	72	7	35	7,457	162	18
1	06/04/2026	776691	1	1582	72	7	20	8,114	162	18
1	06/04/2026	782067	4	139	6	30	26	1,686	290	10
1	06/04/2026	782371	2	510	6	25	17	0,771	52	13
1	06/04/2026	783798	2	430	18	9	10	3,029	252	28
1	06/04/2026	786010	2	555	24	22	28	2,543	48	8
1	06/04/2026	786447	2	559	50	16	143	15,314	112	16
1	06/04/2026	786720	1	18	6	6	7	0,286	160	32
1	06/04/2026	789301	1	314	6	8	4	0,6	112	28
1	06/04/2026	790666	1	624	24	8	25	1,286	136	17
1	06/04/2026	792547	1	48	24	8	49	2,4	136	17
1	06/04/2026	794152	3	144	12	39	28	1,371	55	11
1	06/04/2026	795852	1	121	6	5	7	0,257	170	34
1	06/04/2026	795869	3	18	6	28	18	0,886	112	28
1	06/04/2026	795937	4	301	12	53	3	1,171	56	7
1	06/04/2026	795975	1	84	24	11	35	1,629	170	17
1	06/04/2026	798426	1	1440	24	9	23	1,4	104	13
1	06/04/2026	800259	1	30	30	3	31	2,086	36	6
1	06/04/2026	801560	1	672	12	6	10	0,4	105	15
1	06/04/2026	814133	1	360	6	6	7	0,257	120	15
1	06/04/2026	822114	4	40	8	32	11	1,086	30	5
1	06/04/2026	822138	1	344	8	7	6	0,343	30	5
1	06/04/2026	831871	1	240	20	17	41	1,486	36	9
1	06/04/2026	833783	2	576	12	13	15	0,8	150	15
1	06/04/2026	839525	1	101	20	20	0	0,6	49	7
1	06/04/2026	842112	1	168	12	3	0	0,343	75	15
1	06/04/2026	842129	1	190	12	3	10	0,914	75	15
1	06/04/2026	842150	3	132	12	9	0	1,029	75	15
1	06/04/2026	842167	2	225	12	6	14	1,114	200	40
1	06/04/2026	844963	1	3887	108	9	72	8,857	90	15
1	06/04/2026	844970	1	2592	108	9	21	7,057	90	15
1	06/04/2026	856294	2	457	27	6	27	5,543	49	7
1	06/04/2026	862431	4	48	12	7	10	2	372	31
1	06/04/2026	864251	3	71	12	20	2	0,943	168	24
1	06/04/2026	868877	3	234	6	12	14	0,8	100	25
1	06/04/2026	879033	1	48	8	14	0	0,229	54	9
1	06/04/2026	879705	1	229	12	10	22	0,943	90	18
1	06/04/2026	879828	2	104	30	60	57	12,629	35	5
1	06/04/2026	879866	3	322	6	5	12	1,171	826	59
1	06/04/2026	880978	1	935	12	12	6	0,429	75	15
1	06/04/2026	883672	1	95	32	5	26	1,086	30	5
1	06/04/2026	889759	1	26	12	5	0	0,286	128	32
1	06/04/2026	891202	3	1440	40	16	16	3,8	432	16
1	06/04/2026	891219	1	800	40	5	47	2,486	105	15
1	06/04/2026	893497	1	234	18	5	30	1,457	195	13
1	06/04/2026	896467	1	782	96	0	58	2,914	126	9
1	06/04/2026	899611	1	1199	200	3	121	15,857	88	8
1	06/04/2026	899635	1	400	200	3	106	17,286	150	15
1	06/04/2026	899642	1	2023	200	3	175	20,743	88	8
1	06/04/2026	899789	1	336	48	1	14	0,943	114	19
1	06/04/2026	902977	1	48	48	1	46	2,657	114	19
1	06/04/2026	904148	1	24	12	1	0	0,171	60	10
1	06/04/2026	905046	4	1840	40	13	101	17,086	133	19
1	06/04/2026	905053	3	2080	40	10	6	7,029	133	19
1	06/04/2026	905060	1	560	40	3	21	9,314	133	19
1	06/04/2026	906784	2	12	6	7	9	0,429	112	28
1	06/04/2026	908733	1	528	24	1	36	1,343	160	40
1	06/04/2026	908757	2	360	24	3	47	2,8	160	40
1	06/04/2026	908764	3	599	24	5	25	3,057	160	40
1	06/04/2026	908801	1	573	24	1	39	2,4	160	40
1	06/04/2026	910712	1	405	15	6	29	1,229	136	17
1	06/04/2026	910729	2	422	12	0	13	1	90	6
